Employers who were issued a negative Labour Market Impact Assessment (LMIA) by National Occupational Classification (NOC) 2011 and business location in 2016,,,, 
Province/Territory,Employer,Address,Occupations under NOC 2011,Positions requested 
,Airdrie Trailer Sales Ltd.,"Airdrie, AB T4B 2A3",6211-Retail sales supervisors,1
,Alberta  Drywall and Stucco Supply (Calgary) Inc.,"Edmonton, AB T6P 0A1","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,Alberta Concrete Pumping Ltd,"Edmonton, AB T6P 1L7",1431-Accounting and related clerks,1
,,,7282-Concrete finishers,6
,Alberta Milk,"Edmonton, AB T6X 1H1",4162-Economists and economic policy researchers and analysts,1
,Alexandria Transport Ltd,"St. Albert, AB T8N 6A9",1241-Administrative assistants,1
,,,7511-Transport truck drivers,2
,Alexis Casino Limited Partnership,"Whitecourt, AB T7S 1N3","6313-Accommodation, travel, tourism and related services supervisors",1
,ALM Contracting Company Ltd,"De Winton, AB T0L 0X0",7271-Carpenters,1
,Alpha Tile Ltd,"Edmonton, AB T5T 5J4",1221-Administrative officers,1
,,,1241-Administrative assistants,2
,Al-Quds Kebab House Ltd,"Calgary, AB T2P 1A5",6322-Cooks,2
,AMG 8 Inc,"Edmonton, AB T5J 4B7",6322-Cooks,1
,Amir Halal Meats and Grocery Ltd,"Calgary, AB T2A 5K4",0631-Restaurant and food service managers,1
,AMJ Holdings Inc,"Calgary, AB T3J 4X2",6731-Light duty cleaners,1
,Amos Machine & Manufacturing Ltd.,"Nisku, AB T9E 7N6",7231-Machinists and machining and tooling inspectors,1
,AMP AUTO BODY PANELS LTD,"EDMONTON, AB T5L 0N7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,Angella's Cleaning Enterprise,"Edmonton, AB T6J 4E2",6731-Light duty cleaners,1
,AP Honey Farm Ltd.,"Wanham, AB T0H 3P0",8431-General farm workers,7
,Apna Alarm Systems Inc.,"Edmonton, AB T6T 0J3",2242-Electronic service technicians (household and business equipment),1
,AppCarouselDirect Inc.,"Calgary, AB T2G 0K3",2141-Industrial and manufacturing engineers,1
,,,2171-Information systems analysts and consultants,1
,Araam Inc,"Edmonton, AB T5S 2E6",2281-Computer network technicians,1
,Arabia Food Services Ltd.,"Edmonton, AB T5J 3N3",0631-Restaurant and food service managers,1
,,,6322-Cooks,1
,Arbutus Landscaping Inc,"Calgary, AB T3B 5M8","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
,,,8612-Landscaping and grounds maintenance labourers,1
,Atahkk Enterprises Incorporated,"Sherwood Park, AB T8A 3X4",6311-Food service supervisors,2
,ATO Plastering Ltd,"Calgary, AB T3G 3N8","7284-Plasterers, drywall installers and finishers and lathers",5
,Attache Stables Ltd.,"Calgary, AB T2R 1P3","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,Autumn Mist Janitorial Services Inc,"Grande Prairie, AB T8V 7G7",6315-Cleaning supervisors,1
,AV Exterior Ltd,"Edmonton, AB T5V 1H7",7271-Carpenters,2
,A-Z Bobcat Services Ltd.,"Calgary, AB T1Y 3T1",7521-Heavy equipment operators (except crane),1
,B & N Automotive Ltd.,"Nisku, AB T9E 8M8",6316-Other services supervisors,3
,,,"6742-Other service support occupations, n.e.c.",1
,Babock Painting & Cleaning Ltd.,"Calgary, AB T3K 3X6",7294-Painters and decorators (except interior decorators),1
,Bacea Construction Ltd.,"Calgary, AB T3M 1H5",7283-Tilesetters,1
,Baha Cabana Restaurant Ltd.,"Edmonton, AB T5E 5R6",6322-Cooks,2
,,,6513-Food and beverage servers,1
,Bailey Green Landscaping Ltd,"Calgary, AB T3J 3P6",1221-Administrative officers,1
,,,"8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
,Banff Lodging Company a Division of Banff Caribou Properties Ltd.,"Banff, AB T1L 1H8",6322-Cooks,2
,Banga's Equipment Canada Ltd,"Taber, AB T1G 1Z8",1522-Storekeepers and partspersons,1
,Baoqi Canada Ltd.,"Calgary, AB T3G 2W6",6322-Cooks,1
,Bar Z Farm and Ranch Ltd.,"Chauvin, AB T0B 0V0",8431-General farm workers,1
,Barry Variety Store Ltd,"Grande Prairie, AB T8V 3Y3",6211-Retail sales supervisors,1
,Basha International Foods Inc,"Calgary, AB T1Y 7K7",0714-Facility operation and maintenance managers,1
,,,6211-Retail sales supervisors,2
,Bassano Farms Ltd.,"Bassano, AB T0J 0B0",8431-General farm workers,2
,Bavaro Maintenance Ltd,"Calgary, AB T2Y 5C6","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
,Bearspaw Country Club Ltd,"Calgary, AB T8R 1A2","5254-Program leaders and instructors in recreation, sport and fitness",1
,Beaumont Food Services Inc,"Beaumont, AB T4X 1T9",6311-Food service supervisors,1
,Belana Cleaning Ltd,"Calgary, AB T3B 6A4",6731-Light duty cleaners,2
,Bellagio Nail Ltd.,"Calgary, AB T2K 0M2","0651-Managers in customer and personal services, n.e.c.",2
,Bernadette Caputo o/a Looney Toons Express,"Edmonton, AB T5A 1N9",6311-Food service supervisors,1
,Best Contractors Ltd.,"Edmonton, AB T5Z 2J1",7311-Construction millwrights and industrial mechanics,1
,Bestway Tire Ltd,"Edmonton, AB T6E 0A8",6315-Cleaning supervisors,1
,"Beverly Arlow, CGA Professional Corporation","Leduc, AB T9E 7K2",1311-Accounting technicians and bookkeepers,1
,Beyond Foam Insulation Ltd,"Rocky View County, AB T1X 0G9","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
,Bhatia Khurana LLP,"Edmonton, AB T6E 5J4",1311-Accounting technicians and bookkeepers,1
,Big Al's Texturing Ltd.,"Calgary, AB T2E 6L6","7284-Plasterers, drywall installers and finishers and lathers",1
,Bigstone Health Commission,"Wabasca, AB T0G 2K0",3219-Other medical technologists and technicians (except dental health),1
,Bilal Enterprises Ltd,"Medicine Hat, AB T1A 4W2",6211-Retail sales supervisors,1
,"Bills General Cleaning, Imported Goods & Consulting Ltd","Fort McMurray, AB T9H 3Z7","0651-Managers in customer and personal services, n.e.c.",2
,,,6315-Cleaning supervisors,4
,Bison Insulation Blankets Inc.,"Edmonton, AB T5M 3B9","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,BKGK Group,"Calgary, AB T2Z 3T7",6311-Food service supervisors,1
,Black Knight Inn Ltd.,"Red Deer, AB T4R 1H1",6311-Food service supervisors,1
,BLCO Enterprises Ltd.,"Edmonton, AB T6E 6B4",6311-Food service supervisors,1
,Blue Jay Cafe Ltd,"Edson, AB T7E 1V4",6322-Cooks,2
,Blue Willow Restaurant (1983) Ltd.,"Edmonton, AB T5K 2P1",6311-Food service supervisors,1
,BMW Roofing & Siding 2000 Inc,"Calgary, AB T2C 0J9",7291-Roofers and shinglers,3
,Bodrug Dodu Tiling Corporation,"Edmonton, AB T5S 0G8",7283-Tilesetters,2
,Bodytech Therapeutic Massage Inc,"Edmonton, AB T6J 2S3",3236-Massage therapists,1
,Bonsai Sushi Ltd,"Grande Prairie, AB T8W 2W6",6322-Cooks,3
,Bow Garden Restaurant Ltd,"Medicine Hat, AB T1B 4R7",6322-Cooks,2
,Bow Valley Laundry Ltd,"Canmore, AB T1W 2V2","6741-Dry cleaning, laundry and related occupations",6
,,,7332-Appliance servicers and repairers,2
,Bowness Vietnamese Restaurant Ltd,"Calgary, AB T3B 0E6","6711-Food counter attendants, kitchen helpers and related support occupations",3
,Brar Freight Ways Ltd,"Edmonton, AB T6T 0H5",1411-General office support workers,1
,Brinker Canadian Restaurant Company ULC,"Calgary, AB T2J 3V1","6711-Food counter attendants, kitchen helpers and related support occupations",1
,Buildtech Framing Inc.,"Bragg Creek, AB T0L 0K0",7271-Carpenters,1
,Bulletproof Info Tech Inc,"Red Deer, AB T4P 1M7",2281-Computer network technicians,1
,Business Resources Canada Ltd,"Edmonton, AB T6J 7E8",6316-Other services supervisors,1
,BWC Hotels Ltd.,"Calgary, AB T3J 5J9",6321-Chefs,1
,Byblos Bakery Ltd.,"Calgary, AB T2E 8J8","9617-Labourers in food, beverage and associated products processing",1
,C & K Trade Ltd,"Calgary, AB T2G 3E5","7284-Plasterers, drywall installers and finishers and lathers",1
,Caffe Tech 2004 Ltd.,"Edmonton, AB T6G 0X1",7332-Appliance servicers and repairers,1
,Cailliau Farms Ltd,"Enchant, AB T0K 0V0",8431-General farm workers,6
,Calgary Aggregate Recycling Ltd,"Calgary, AB T2C 3Z3","9411-Machine operators, mineral and metal processing",1
,Calgary Contract Upholstery Ltd,"Calgary, AB T2E 2N4",6345-Upholsterers,1
,Calgary Pick N Drop Services Inc. o/a Pick N Drop,"Calgary, AB T3K 5K3","7305-Supervisors, motor transport and other ground transit operators",1
,Calmar Pharmacy Ltd,"Calmar, AB T0C 0V0",6211-Retail sales supervisors,1
,Can Tran Meat Co Ltd(formerly Fatkee Fresh Meat),"Calgary, AB T2G 0B7","9462-Industrial butchers and meat cutters, poultry preparers and related workers",1
,Canada Bangladesh Ltd.,"Calgary, AB T3J 4L4",0621-Retail and wholesale trade managers,1
,Canada Prime Marketing Corporation,"Edmonton, AB T5H 0X3",6211-Retail sales supervisors,3
,Canadian Energy Services Inc,"Calgary, AB T2P 3J4",2282-User support technicians,1
,Canadian Galvanizing Ltd.,"Edmonton, AB T5B 4J8","9536-Industrial painters, coaters and metal finishing process operators",6
,Canadian Greenfield Technologies Corp.,"Calgary, AB T2C 0J4","9441-Textile fibre and yarn, hide and pelt processing machine operators and workers",1
,Canadian Pacific Railway Company Ltd,"Calgary, AB T2C 4X9",2171-Information systems analysts and consultants,1
,Can-Do Auto & Lube (1984) Ltd,"Lloydminster, AB T9V 3A7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,Canmore Bottle Depot Inc,"Canmore, AB T1W 1K9","9619-Other labourers in processing, manufacturing and utilities",1
,Canmore Woodcrafters Ltd,"Canmore, AB T1W 1L2",7272-Cabinetmakers,2
,Cantonese Restaurant Ltd,"Jasper, AB T0E 1E0",6322-Cooks,1
,Canwide Carriers Ltd,"Edmonton, AB T6T 0P6",7511-Transport truck drivers,1
,Canyon Ski Resort& Recreation Area Ltd.,"Red Deer, AB T4E 0Z1","5254-Program leaders and instructors in recreation, sport and fitness",1
,Capit Inc,"Calgary, AB T3H 0N8","0124-Advertising, marketing and public relations managers",2
,Capital Child Care Centre Inc,"Edmonton, AB T6H 5K4",4214-Early childhood educators and assistants,1
,Carpet Colour Centre Red Deer Ltd,"Red Deer, AB T4R 3R1",7295-Floor covering installers,1
,Carpet Supermarket Sales Ltd,"Calgary, AB T3N 0A1",7283-Tilesetters,2
,Cascade Management Inc o/a Cascade Gifts,"Banff, AB T1L 1C2",6211-Retail sales supervisors,1
,Castle Mediterranean Cuisine Ltd,"Wetaskiwin, AB T9A 0S2",6322-Cooks,1
,CEL Quality Services Ltd.,"Rocky Mountain House, AB T4T 1B1",2261-Non-destructive testers and inspection technicians,1
,Cellcan Inc,"Calgary, AB T3J 3J8",1221-Administrative officers,2
,Central Alberta Co-op Ltd.,"Red Deer, AB T4N 6Z1",6421-Retail salespersons,1
,Certek Heat Machines Inc.,"Wembley, AB T0H 3S0","7301-Contractors and supervisors, mechanic trades",1
,Cervus Equipment Corporation,"Calgary, AB T3K 0S3",7312-Heavy-duty equipment mechanics,1
,,,"7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,Champeer DQ Ltd,"Edmonton, AB T6W 2P3",6311-Food service supervisors,2
,Charlton's Evergreen Court Ltd.,"Banff, AB T1L 1B4",6731-Light duty cleaners,1
,Cheema Trust Maintenance Ltd.,"Edmonton, AB T5Y 3C1","0651-Managers in customer and personal services, n.e.c.",1
,,,6315-Cleaning supervisors,2
,Cheukpoint Investment Inc,"Calgary, AB T2H 2Z7",6311-Food service supervisors,2
,Chief Medical Supplies Ltd.,"Calgary, AB T2E 6J7",2211-Chemical technologists and technicians,1
,Citizen Trade & Investments Inc,"Valleyview, AB T0H 3N0",6311-Food service supervisors,1
,City Masonry Ltd.,"Edmonton, AB T6T 0A5","7284-Plasterers, drywall installers and finishers and lathers",3
,Civic Tire & Battery (Westlock) Ltd,"Westlock, AB T7P 1X3",0621-Retail and wholesale trade managers,1
,Civilized Adventures Inc,"Calgary, AB T2G 0W7",6521-Travel counsellors,1
,Classic Kitchens & Cabinets Ltd,"Calgary, AB T2E 5T8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
,,,7272-Cabinetmakers,1
,Clouston Enterprises Inc.,"Fort McMurray, AB T9K 1X9",0621-Retail and wholesale trade managers,1
,,,6211-Retail sales supervisors,1
,,,"6331-Butchers, meat cutters and fishmongers - retail and wholesale",1
,Clover Leaf Stables Equestrian Centre Inc.,"Sherwood Park, AB T8B 1K7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,Cold Lake Consulting Service Ltd,"Cold Lake, AB T9M 1N1",6321-Chefs,1
,Cold Lake Restaurant Inc,"Cold Lake, AB T9M 1S6",6311-Food service supervisors,1
,,,6322-Cooks,1
,Columbus Pizza On Whyte Inc,"Edmonton, AB T6E 2A1","6711-Food counter attendants, kitchen helpers and related support occupations",1
,Compass Group Canada Ltd,"Calgary, AB T2A 0P6",0631-Restaurant and food service managers,1
,,,6322-Cooks,1
,Compass Transport Ltd,"Calgary, AB T3J 4K7",7511-Transport truck drivers,2
,Concours Collision Centres Ltd.,"Calgary, AB T2G 1Z5",7322-Motor vehicle body repairers,1
,Concrete Inc,"Edmonton, AB T5S 2C6",7282-Concrete finishers,1
,Connelly-McKinley Ltd,"Edmonton, AB T5K 1R5","6733-Janitors, caretakers and building superintendents",1
,Coolaborations Inc.,"Fort Saskatchewan, AB T8L 4J9",6311-Food service supervisors,1
,Coulee Craft Brewing Co,"Lethbridge, AB T1J 1Z2",6322-Cooks,2
,Country Club Inn Ltd,"Rainbow Lake, AB T0H 2Y0",6322-Cooks,1
,Covenant Health,"Edmonton, AB T6K 4B2",3112-General practitioners and family physicians,1
,Coverall Uniform Linen & Mats Ltd.,"Fort McMurray, AB T9K 0T4","6741-Dry cleaning, laundry and related occupations",1
,Cowan Graphics Inc,"Edmonton, AB T6B 2R9",5223-Graphic arts technicians,1
,Creek Side Holdings Ltd,"Calgary, AB T3J 0A3",6322-Cooks,1
,Creekside Home and Garden Ltd.,"Spruce Grove, AB T7Y 1A9",8432-Nursery and greenhouse workers,2
,Crestwood Hotel Inc,"Hinton, AB T7V 1S9","6711-Food counter attendants, kitchen helpers and related support occupations",1
,Custom Design Siding Inc.,"Sturgeon County, AB T8T 0B8",7441-Residential and commercial installers and servicers,2
,Custom Pipe Services Inc.,"Leduc, AB T9E 7A6",2261-Non-destructive testers and inspection technicians,1
,D & H Retail Enterprises Inc.,"Edmonton, AB T6L 0A4",6211-Retail sales supervisors,2
,D and A Services,"Calgary, AB T3P 1G3",4411-Home child care providers,1
,D L Boisvert Holdings Ltd,"Edson, AB T7E 1H7",6611-Cashiers,2
,Daawat Authentic East Indian Cuisine Strathcona Ltd.,"Edmonton, AB T6E 1Z2",6311-Food service supervisors,1
,Dannburg Holdings Corporation Limited,"Calgary, AB T2G 4M6",7283-Tilesetters,1
,Danro Convenience Store Inc,"Canmore, AB T1W 1E1",6211-Retail sales supervisors,1
,Darshan Foods Inc,"Calgary, AB T3A 6H9",6311-Food service supervisors,2
,Daylight Hydrovac Ltd,"Edson, AB T7E 1V5","7305-Supervisors, motor transport and other ground transit operators",1
,DEB Janitorial & Cleaning Solutions Inc,"Edmonton, AB T6R 0T4",6315-Cleaning supervisors,2
,Debcur Holdings Ltd,"Gibbons, AB T0A 1N0",7511-Transport truck drivers,1
,Delicious Thai Inc,"Calgary, AB T2N 1V8",6322-Cooks,1
,Dencan Restaurants Inc,"Calgary, AB T2H 0B8",6322-Cooks,3
,Desh Videsh Times International Ltd,"Edmonton, AB T6B 0E7",5241-Graphic designers and illustrators,1
,Deugro (Canada) Inc.,"Calgary, AB T2G 2H8","0016-Senior managers - construction, transportation, production and utilities",1
,Dezi's Plastering Inc,"Calgary, AB T3Z 0A1","7284-Plasterers, drywall installers and finishers and lathers",4
,DH Holdings & Investments Ltd.,"Whitecourt, AB T7S 1C4","6711-Food counter attendants, kitchen helpers and related support occupations",1
,Diamond Exotic Cars & Trucks Inc.,"Calgary, AB T2E 6Z5",6732-Specialized cleaners,1
,Dixie Lee (Nisku) Ltd,"Leduc, AB T9E 0N9",6311-Food service supervisors,1
,D-L Brides Canada/ D-L Flange Canada,"Edmonton, AB T6E 5Z4",7231-Machinists and machining and tooling inspectors,1
,dmg events (Canada) Inc.,"Calgary, AB T2R 1M6",2282-User support technicians,1
,DMI Construction and Home Renovations Ltd,"Edmonton, AB T6L 2S2",7271-Carpenters,1
,Dong Phuong Group Partnership,"Edmonton, AB T5H 2L9",6211-Retail sales supervisors,1
,Double Double Enterprises Ltd.,"Vermilion, AB T9X 0A8",6311-Food service supervisors,2
,Double Double Strathmore Ltd,"Strathmore, AB T1P 1B6",6311-Food service supervisors,6
,Dryco Building Supplies Inc.,"Edmonton, AB T6B 0A1",7452-Material handlers,2
,DT Global Ltd,"Edmonton, AB T5S 2R5","0651-Managers in customer and personal services, n.e.c.",1
,Duchess Bake Shop Ltd.,"Edmonton, AB T5M 0H1",6322-Cooks,1
,Dzung Phu Huong Food Ltd,"Edmonton, AB T5H 2R8",6311-Food service supervisors,1
,E G Building Maintenance Inc,"Edmonton, AB T5Y 3C7","1211-Supervisors, general office and administrative support workers",1
,,,6731-Light duty cleaners,2
,Earls Restaurants (Grande Prairie) Ltd,"Grande Prairie, AB T8V 6X3",6322-Cooks,5
,Economy Landscape Contractors Ltd,"Edmonton, AB T5V 1S8",8432-Nursery and greenhouse workers,6
,Eddie's Concrete Ltd.,"Edmonton, AB T6R 0G6",7611-Construction trades helpers and labourers,1
,Eden Construction and Renovation,"Calgary, AB T3J 3M8",7271-Carpenters,1
,EDI Immigration Consulting Ltd,"Calgary, AB T2E 2S7",1241-Administrative assistants,1
,Edmonton Home Pros Real Estate Group Inc.,"Edmonton, AB T6M 2K8",1222-Executive assistants,2
,Edmonton Tire and Lube Ltd.,"Edmonton, AB T6P 1N8",1221-Administrative officers,1
,Edson Chicken Food Inc o/a KFC/TB,"Edson, AB T7E 1V8",6311-Food service supervisors,1
,Edson Top Choice Autobody Corp.,"Edson, AB T7E 1W2",7322-Motor vehicle body repairers,1
,El Basil Group Inc,"Edmonton, AB T5C 1R9",6315-Cleaning supervisors,1
,Elecon Systems Ltd,"Edmonton, AB T6E 4M9",7243-Power system electricians,1
,Emerson Electric Canada Ltd o/a Emerson Process Management,"Calgary, AB T2C 3G3",2242-Electronic service technicians (household and business equipment),1
,Enerpro Insulation Ltd.,"Edmonton, AB T5Y 6B4",7293-Insulators,1
,Envision Auto Sales Ltd.,"Calgary, AB T2H 2W5","6742-Other service support occupations, n.e.c.",1
,Ericksen M-B Ltd.,"Edmonton, AB T6W 2P6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,European Bakery and Deli Ltd,"Calgary, AB T2S 0A9",6211-Retail sales supervisors,1
,Ewert Consulting,"Edmonton, AB T5Z 3M3",6311-Food service supervisors,1
,Excellent Stucco Ltd.,"Edmonton, AB T6T 1N3","7284-Plasterers, drywall installers and finishers and lathers",2
,Exclusive Drywall Ltd.,"Edmonton, AB T6X 0P2","7284-Plasterers, drywall installers and finishers and lathers",2
,Executive Mat Services Ltd,"Calgary, AB T2A 5K4",7514-Delivery and courier service drivers,1
,F4! Environmental Inc.,"Stony Plain, AB T7Z 1X9",6221-Technical sales specialists - wholesale trade,1
,Falher Restaurant Ltd,"Falher, AB T0H 1M0",6322-Cooks,2
,Farming Worx Inc,"Calgary, AB T2P 2G7","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",2
,Fast Appliance Repair Ltd,"Calgary, AB T2Z 0J4",6315-Cleaning supervisors,1
,FDB Construction Ltd,"Calgary, AB T2J 1R5","7302-Contractors and supervisors, heavy equipment operator crews",1
,Feedlot Health Management Services Ltd.,"Okotoks, AB T1S 2A2",2121-Biologists and related scientists,3
,,,3114-Veterinarians,2
,Feel Like Talking Connections Ltd,"Edmonton, AB T6E 0W4",0621-Retail and wholesale trade managers,2
,Filcan Construction Ltd,"Calgary, AB T2C 1W4","7204-Contractors and supervisors, carpentry trades",1
,FillQuick Inc,"Edmonton, AB T6X 0L6",2173-Software engineers and designers,1
,First Call Restorations Ltd,"Red Deer, AB T4E 1B4",6732-Specialized cleaners,1
,Fix My Phone Inc.,"Edmonton, AB T5G 0P4",6211-Retail sales supervisors,1
,Flaming BBQ Ltd.,"Fort Macleod, AB T0L 0Z0",6322-Cooks,1
,Floorex Ltd.,"Calgary, AB T2H 0X6",7283-Tilesetters,1
,FMI Logistics Inc,"Calgary, AB T2C 4E8",1241-Administrative assistants,1
,Forewest Holdings # 302 Ltd,"Medicine Hat, AB T1A 6P1",3131-Pharmacists,1
,Forrest Builders Inc,"Edmonton, AB T5Y 0X5",7271-Carpenters,2
,Fortis LGS Structures Inc,"Edmonton, AB T6N 0A3","7284-Plasterers, drywall installers and finishers and lathers",14
,,,7611-Construction trades helpers and labourers,3
